,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
GME-FANG,,,,,,,,,,,,,,,,
GME-NTGR,,,,,,,,,,,,,,,,
GME-MSA,,,,,,,,,,,,,,,,
GME-VG,,,,,,,,,,,,,,,,
GME-MDRX,1,2,2,-3877.332678325446,4,-2.6419876029199707,9.622616751608023,-9.457928402284237,-0.018531673197882164,0.8669822333424605,0.0,0.012366832150135834,0.00156600865247397,0.9319279833947363,0.06823286108622995,0.0010007379909153834
GME-BANR,,,,,,,,,,,,,,,,
GME-MAC,,,,,,,,,,,,,,,,
GME-ASH,,,,,,,,,,,,,,,,
GME-CRS,1,2,1,-3408.3126838622647,2,1.042993152022915,-1.7122945905230944,0.0,-0.0008086574845787425,0.977235138694103,0.0,0.002706369244595117,0.003938425967276379,0.881970045072876,0.11981300520389482,0.00018596006815832966
GME-SAFT,2,2,2,-3642.0300316949474,3,-1.662595731341208,-7.0554082278145245,7.357698244842214,-0.013207155916682527,0.6141306330001015,0.32074504401002457,0.006611916360080828,0.0029230808707939263,0.9779678953867617,0.022685315993882682,0.0007546027738862501
GME-SKT,2,2,1,-3080.347045796209,3,0.7992247595336957,-2.2907649729985984,0.0,-0.005188195443237047,0.9277911924666391,0.030968999585983426,0.00338361719675218,0.009944947542632157,0.9364861504528932,0.06854257107081452,0.0005440498722184699
GME-SRCL,,,,,,,,,,,,,,,,
GME-VRTS,,,,,,,,,,,,,,,,
GME-GPI,1,1,1,-3747.9802494970245,6,-1.7246304385980267,0.061197239027487804,0.0,-0.005962308689273055,0.9199658696726204,0.0,0.007065236943178638,0.0018494494892838127,1.0008989397580124,0.0,0.0007345331744595418
GME-BHE,1,2,1,-3295.3555416111935,1,-0.7571778444637765,1.0783478570255756,0.0,-0.0003007184085350098,0.9637240162463142,0.0,0.004425976547859863,0.000553871137427206,0.9394883119778754,0.06300259392716612,0.0005290781244201209
GME-AROC,2,2,2,-3324.9760811137576,2,-0.2111068199372553,-3.068134814685475,2.299030644870888,-0.00373422743587027,0.8289002128915826,0.13559533823430314,0.00376849612779065,0.00387264314103942,0.95337522261093,0.04770153686072831,0.000465407967756536
GME-HBI,,,,,,,,,,,,,,,,
GME-NWL,1,1,1,-3521.8759618505806,1,2.271616448822634,-1.3036225513566795,0.0,-0.002755203963885849,0.9841875601938986,0.0,0.001904897360888373,0.022462795901005368,1.0349478182359364,0.0,0.0003518849305569128
GME-NFG,2,1,1,-3364.1230294068187,1,0.2455332745868544,-1.128160873655454,0.0,-0.0013355005748806048,0.78991022093156,0.18046104218457515,0.00321159934656423,0.002826573994574557,1.0020654393002844,0.0,0.000326992830915313
GME-PFS,,,,,,,,,,,,,,,,
GME-AIN,1,2,2,-3865.394627413692,6,-2.5848694631866014,4.530155047400012,-3.6707264177182664,-0.010439705631826585,0.8866311168410675,0.0,0.011741316573459436,0.0009371320005528254,0.9162803369955981,0.0854751054127405,0.0009220284384443004
GME-HR,2,2,2,-3173.4603832407442,1,0.06138488825206307,-3.7647924274677798,1.8286284555813146,-0.005762247860367069,0.8780621618171587,0.07056387162970879,0.003804129018184046,0.006516374783818224,0.9129086024819486,0.08732704037196726,0.0006505516185545486
GME-BRO,2,2,1,-3551.148880367308,5,-2.341431912039954,1.822980289435894,0.0,0.004513570214952106,0.7513447135507789,0.16653268080955286,0.010679585555673145,-0.0009939835014442372,0.934004835213063,0.06651128785797411,0.0011051638385805424
GME-CFR,2,2,1,-3607.017778514269,2,-1.4803267917404674,-0.49752782210955593,0.0,-4.096529138828244e-05,0.8316295622139052,0.08261040857599511,0.006958153365012478,0.00026555267121650605,0.9444412807613958,0.05583037262153567,0.0008007168061621654
GME-HLF,,,,,,,,,,,,,,,,
GME-AN,1,2,2,-3457.082518584455,2,0.5487507022719771,1.2468316820050758,-1.9165265321189322,-0.0025069425361365083,0.9815554851605834,0.0,0.002766714655967836,0.004449087673457579,0.8886053144670711,0.11443486238822942,0.00017755828909278394
GME-MATX,1,2,2,-3413.3738491352074,1,0.8868780125837964,-2.9447076910145924,1.5784769114593171,-0.0009205418102015001,0.981114083183472,0.0,0.0027211183488590617,0.00293030456718045,0.9003643429661281,0.1003244053513015,0.00018282439725287255
GME-STFC,,,,,,,,,,,,,,,,
GME-PII,,,,,,,,,,,,,,,,
GME-SWBI,,,,,,,,,,,,,,,,
GME-LPLA,2,1,1,-3402.8314742074135,1,-0.7084547502492639,-0.21728104091100653,0.0,-0.0020563625986753167,0.757759576224359,0.20834049081631179,0.004441229245666473,0.001249993327302443,1.0002020418761606,0.0,0.0005628382997646152
GME-UVV,1,1,2,-3323.1820971650004,1,-0.10331487863512137,-4.744266646618092,3.821276358880592,-0.0037000444624412723,0.967619769260861,0.0,0.0037133170868569156,0.0038244421634631865,1.0002772856409332,0.0,0.00045204537936066
GME-HMN,2,2,1,-3808.3949776911804,2,-2.3575051395840516,0.7351526814115887,0.0,-0.014582670085920313,0.5972856503431174,0.319916311238309,0.009345563109720451,0.0017417197756272422,0.9430186825810907,0.0577578238821701,0.0009134406528363906
GME-MOH,2,2,2,-3497.1835924299257,5,-1.1784893639444896,-0.6465418435097139,0.7271729999217997,-0.005433586034888763,0.7871741103713745,0.16746523512202316,0.005387331531055113,0.0022075982558285405,0.9535152409706242,0.04719444661882477,0.0006675328250642379
GME-SHOO,,,,,,,,,,,,,,,,
GME-HSC,1,2,1,-3303.714717355234,2,0.2942540816064961,-1.1171155304284628,0.0,-0.002692232140692131,0.972639459995208,0.0,0.003299754073581015,0.00418716918472363,0.9227725573565166,0.07863843761095524,0.0003533199585528872
GME-CLR,,,,,,,,,,,,,,,,
GME-HRI,1,2,2,-3446.101292401811,1,1.0530793274443164,0.7681139213023489,-2.3067260163603462,-0.0008168322543753055,0.9772377924035156,0.0,0.0026556982105490463,0.004051760653297102,0.8467169120912246,0.15758416674468378,0.00015269136431615907
GME-TG,1,2,1,-3409.8763188665844,1,1.2735132702486225,-1.639924482728904,0.0,-0.0009041554899637747,0.980610869269813,0.0,0.0026070117043883794,0.004548830542741661,0.8314133613400259,0.17042162072307576,0.00016085003133581784
GME-HOG,,,,,,,,,,,,,,,,
