,m1,m2,n,BIC,$\delta_0$,$\delta_1$,$\delta_2$,Spread SD,SD($\delta_0$),SD($\delta_1$),SD($\delta_2$),num_conv
GME-GPI,1.0,1.0,1.0,-3747.980249497025,-1.9043833487323996,0.16435480167593944,0.0,0.2839608676400611,0.008490279538313399,0.007818529075805715,inf,3
GME-AIN,1.0,2.0,2.0,-3865.394627413692,-2.612120747993111,4.703868858936977,-3.8441638712935298,0.2683454008218621,0.022127939343314886,0.1419887941420905,0.141948268379928,10
GME-BRO,2.0,2.0,1.0,-3551.148880367308,-2.31243884959248,1.8881518441729628,0.0,0.2595499442608972,0.029876600413308866,0.0017994614217969056,inf,10
GME-MOH,2.0,2.0,2.0,-3497.1835924299257,,,,0.2965997768426006,,,,0
GME-HNI,2.0,2.0,2.0,-3858.216070034354,,,,0.2936507176895028,,,,0
GME-CSGS,1.0,1.0,2.0,-3712.955101687363,-1.693899948811589,-1.328577101761104,1.0557986596441742,0.2735495476667581,0.10423998288427531,0.14067736580626386,0.11954430618850005,9
GME-KSS,1.0,2.0,1.0,-3482.1693220708285,-1.9906537306312786,-0.04494063529746001,0.0,0.29462624036660134,0.004465929227209036,7.809567587305013e-05,inf,4
FANG-NTGR,1.0,2.0,2.0,-2382.683779626182,2.3555025117650352,2.1043966034519013,-4.779984793507761,0.9987842625260307,0.059758263982147515,0.009338922602208342,0.01433303539601036,10
FANG-MSA,1.0,2.0,1.0,-2226.7056453065425,0.0912240309594804,-0.39038197924191764,0.0,0.910669164949061,1.5762860749982441,1.2636472708842255,inf,10
FANG-VG,1.0,2.0,2.0,-2810.248034840101,-0.07664425595091919,3.6911642218129934,-4.395104722540049,0.7821441984755112,0.6286527309902047,0.4206148407193147,0.47961565507770354,10
FANG-CRS,1.0,1.0,2.0,-2490.7118328844026,2.7611846150279584,3.142542098925495,-5.765498602910884,0.996585902871406,0.05416340805714871,0.019122231724105255,0.035758991963352575,10
FANG-AROC,2.0,1.0,2.0,-2632.058929869287,1.4432610032214948,0.6611812036201457,-2.6562788050926422,0.9380442706268185,0.3615293672337667,0.07363655028638713,0.09513196801637555,10
FANG-HR,2.0,1.0,2.0,-2253.5784724025925,1.2724307699123245,-0.8820766281984116,-1.1560871418088108,0.9581954567872538,0.46638406951455896,0.21269891543616273,0.36447008926216884,8
FANG-MATX,1.0,1.0,2.0,-2384.338478465017,0.28293130827851315,1.2185770200902932,-3.279922747188597,0.8531096191709029,0.41589421252050673,0.4706144173102359,0.38752430406854604,9
FANG-PII,1.0,1.0,1.0,-2810.094164951957,-1.6180110153461271,1.6185015025812866,0.0,0.6856463036053256,2.074251300631423,1.8680962578441076,inf,9
FANG-UVV,1.0,2.0,2.0,-2491.0769215492755,3.428220858534332,2.3622178542313352,-5.476566429444268,1.0038890967281575,0.026380108341069294,0.026135191041761444,0.02709452346233665,10
FANG-SHOO,1.0,1.0,1.0,-2468.889928471738,0.31730258711051945,1.7988156787944412,0.0,0.9041255562574275,1.8681028698876996,2.4821980618410326,inf,9
FANG-CLR,2.0,1.0,1.0,-2941.950387427963,4.230278624165917,-3.550605034801247,0.0,0.9509784161657195,0.8085316370515173,0.35577057686219377,inf,9
FANG-HRI,2.0,2.0,1.0,-2666.100811399261,4.356065362584511,-3.523235849530646,0.0,1.0028857322307514,1.851363261649111,1.2891779791339764,inf,9
FANG-EBIX,1.0,2.0,1.0,-2378.201978680338,1.2854736851242978,-1.6296600283759275,0.0,0.8957841321132246,0.7019127758311103,0.19410468856644308,inf,10
FANG-ACCO,2.0,2.0,1.0,-2463.397556933396,1.609122700209748,-2.4423563978664395,0.0,1.0006744820255347,0.44831244850100127,0.07004768105246323,inf,7
FANG-ESE,1.0,2.0,2.0,-2606.809687669941,2.4233557734353584,2.761324770006493,-5.196817061541376,1.001453678713824,0.23543176522492062,0.22297457732555231,0.221261580293071,9
FANG-SYNA,2.0,2.0,1.0,-1996.132236259134,-0.6115045890644927,0.27507997944843415,0.0,0.39381099421439825,0.5584369763344498,0.12989475545630577,inf,7
FANG-EPR,1.0,2.0,1.0,-2382.6174917124144,1.5332279477429454,0.5630097602048039,0.0,0.6553798912303098,0.6793564106964186,1.2329241026912745,inf,4
FANG-SITC,1.0,1.0,2.0,-2451.7441044449533,3.7697185487001623,1.0146135102854852,-3.9299281342016075,0.9927327131154376,0.006514110461493327,0.0031092685120875417,0.0012223299819326332,10
FANG-HNI,1.0,1.0,2.0,-2334.101305239813,0.15245877662292656,-0.7559159379292801,-0.9623792681515607,0.8030951478095043,0.5176296040915526,0.6770817488908091,0.5482545625070602,10
FANG-CSGS,1.0,2.0,2.0,-2612.028709501262,3.3778428953744917,7.664382525256931,-8.023785197983171,0.666636036675276,1.0305229002730267,4.956898004760155,5.233679511215628,7
FANG-NYT,1.0,1.0,2.0,-1892.217685700447,-0.8421118770062225,0.00938244045497752,0.4233634991143006,0.6820427352762681,0.5402346280260566,0.5884583621254205,0.5893218444721761,7
FANG-AEO,2.0,1.0,1.0,-2329.9582454906013,0.3564314515603003,2.3319191733412388,0.0,0.8653443714884115,0.36846301022646827,0.17465885796297306,inf,5
FANG-X,1.0,2.0,2.0,-3058.347603918553,1.8053307288407867,-0.8838578119092433,-1.1485943443782587,0.9768820038534359,0.012591213250699309,0.0015608720867662455,0.0036257553231769045,10
FANG-HOPE,1.0,2.0,1.0,-2278.2663411502167,-0.20105589357024042,2.351349278475568,0.0,0.7748941454672533,1.284232839502321,1.32466040437534,inf,10
FANG-BLMN,1.0,1.0,1.0,-2856.431740314857,1.6364193222528352,-2.6367524950254637,0.0,1.003612431133414,1.4579928405454459,0.3014818072298974,inf,8
FANG-CRI,1.0,2.0,2.0,-2247.0219426830904,-0.9226773267094927,0.9495847242031501,-1.6955876011991782,0.7405943391627943,0.6166441262831897,0.2731691242343572,0.4429416929227818,10
FANG-SJI,2.0,1.0,1.0,-2582.7838767680405,3.6935729533099986,-3.138509175898814,0.0,1.0032597793284226,0.00947190064655465,0.0049056496501675,inf,10
FANG-NRG,1.0,1.0,1.0,-2763.2010271013787,4.348930286152106,-3.5797365002026194,0.0,1.001815103519821,0.008916117051735166,0.004282459394525399,inf,10
FANG-ZGNX,2.0,2.0,1.0,-2904.696669380888,1.6369306372071377,-2.6480856727621163,0.0,1.0025832492902071,0.19711479898302958,0.05995637884858629,inf,7
FANG-UNFI,2.0,1.0,1.0,-2339.9760678907323,1.7371927718627935,-2.0237711698593244,0.0,0.9637212077414921,0.22447227245514775,0.15746576881326363,inf,8
FANG-FLO,2.0,1.0,2.0,-2517.975566456044,0.17365530503926818,1.6935532784013787,-3.811157390248191,0.9609300292876851,1.0597566004746481,1.0206534781311318,0.9860838772236635,10
FANG-WMK,1.0,2.0,2.0,-2393.9648174538875,1.3569017660848948,-2.208398308006352,-0.18428007817662906,0.968327882064574,0.14623009846159,0.18173921868818518,0.18991527575870093,8
