,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
GCO-CRS,2326.904517568981,2332.892078932315,2330.356927049327,9.19456865598442,0.37887679464724383,0.9322637224311707,0.6310180231941661,0.43968381415520547,0.6807046712882064
GCO-SCHN,,,,,,,,,
GCO-AMG,,,,,,,,,
GCO-LANC,,,,,,,,,
GCO-ON,,,,,,,,,
GCO-SLG,,,,,,,,,
GCO-SWM,,,,,,,,,
GCO-TCBI,,,,,,,,,
GCO-PNW,,,,,,,,,
GCO-NWBI,,,,,,,,,
GCO-NJR,,,,,,,,,
GCO-GFF,,,,,,,,,
GCO-KOP,2018.9529700376806,2022.8665387076417,2020.0252662352564,17.264802647755587,0.28850987301417247,0.9890954103991533,0.6445677370758381,-0.13746509662386097,0.9567227671138799
GCO-JNPR,,,,,,,,,
GCO-HA,,,,,,,,,
GCO-CVI,,,,,,,,,
GCO-ISBC,,,,,,,,,
GCO-NXGN,,,,,,,,,
GCO-ASTE,1843.9023606884157,1848.779282166006,1845.1771236428667,20.136141279394472,0.29283468673947644,0.8949806506563333,0.4655459889542167,0.38505815321851244,0.6067262068058369
GCO-NYT,,,,,,,,,
GCO-UNM,,,,,,,,,
GCO-ABG,1382.6741610306003,1381.9633297372452,1379.467838647628,5.189239025033608,0.26075226701361065,0.8739445168349522,0.3427815706272963,0.33487426676164195,0.5279154843922531
GCO-SPWR,,,,,,,,,
GCO-SYNA,,,,,,,,,
GCO-GIC,,,,,,,,,
GCO-MDC,,,,,,,,,
GCO-AMKR,,,,,,,,,
GCO-SKYW,,,,,,,,,
GCO-NSIT,,,,,,,,,
GCO-RUSHA,,,,,,,,,
GCO-BECN,,,,,,,,,
GCO-FHN,,,,,,,,,
GCO-PFS,,,,,,,,,
GCO-ENR,2635.184428578392,2635.7017399066017,2639.031381649088,37.63058030545855,0.3363577160185831,0.9942973428781979,0.8187127249838079,0.3658946054947946,0.8339149292101966
GCO-RLI,,,,,,,,,
GCO-ACM,,,,,,,,,
GCO-DBD,,,,,,,,,
GCO-SNV,,,,,,,,,
GCO-UFCS,,,,,,,,,
GCO-SBGI,,,,,,,,,
GCO-WW,,,,,,,,,
GCO-SLM,,,,,,,,,
GCO-GBX,,,,,,,,,
GCO-KNX,2103.9127773016635,2109.7766530920667,1992.7560967831628,16.29295580537162,0.14710819985578383,0.5093791388713851,0.5974289901566746,0.2565452751267377,0.8778374949185426
GCO-CLB,,,,,,,,,
GCO-EQT,,,,,,,,,
GCO-ALE,,,,,,,,,
GCO-APOG,,,,,,,,,
GCO-WABC,,,,,,,,,
GCO-QRTEA,,,,,,,,,
GCO-SSB,,,,,,,,,
GCO-UHAL,,,,,,,,,
GCO-HRI,,,,,,,,,
GCO-KALU,2115.829372359907,2118.6609033185723,2106.2485949283237,20.823788405761107,0.31505529278560734,0.7935876182959527,0.5305197638484465,0.4379775977589998,0.6206500368535787
GCO-AZZ,,,,,,,,,
GCO-CBSH,,,,,,,,,
GCO-FSLR,5080.25324330884,5080.359115061421,5084.364674588454,141.91182726894158,0.7030043474019132,1.0,2.431614877539091,1.7945000986551396,0.6474064249259764
GCO-SPR,,,,,,,,,
GCO-KMPR,,,,,,,,,
GCO-THO,,,,,,,,,
GCO-ACHC,,,,,,,,,
GCO-M,,,,,,,,,
GCO-USM,,,,,,,,,
GCO-LTC,,,,,,,,,
GCO-SAFT,,,,,,,,,
GCO-CMC,139.7800516102792,142.09378313200284,141.7423689639063,9.436663403695826,0.09901763394160944,0.9177802858112257,0.18796243100580143,0.17800863047273047,0.5376284476747848
GCO-MLI,,,,,,,,,
GCO-XRX,,,,,,,,,
GCO-INT,,,,,,,,,
GCO-NHI,,,,,,,,,
GCO-RCII,,,,,,,,,
GCO-DEI,,,,,,,,,
GCO-SCL,,,,,,,,,
GCO-WWW,118.6120491684643,117.62693233025198,113.7504468012288,6.749167356151161,0.14434274611862746,0.8527604742406626,0.1842359110160741,0.1767292188590978,0.5398322086768306
GCO-BC,,,,,,,,,
GCO-MTG,,,,,,,,,
GCO-SWN,2421.405419248454,2422.3282662345828,2423.8832977500438,33.634263894816726,0.25259194941897195,0.9552956765158985,0.5938287269445809,0.5445751973569173,0.5487881606065821
GCO-JWN,1493.0432697145575,1492.025373991152,1487.3317792516073,8.080096289556385,0.32296490128877886,0.8220317582836202,0.35426584133908634,0.36076813978387023,0.514200975309723
GCO-SRCL,,,,,,,,,
GCO-BCO,,,,,,,,,
GCO-CMP,,,,,,,,,
GCO-TOL,,,,,,,,,
GCO-HNI,,,,,,,,,
GCO-MIC,,,,,,,,,
GCO-CORE,,,,,,,,,
GCO-PRGO,,,,,,,,,
GCO-WEN,,,,,,,,,
GCO-TGNA,,,,,,,,,
GCO-MAC,,,,,,,,,
GCO-CACI,2425.976732278802,2430.4880755058953,2427.23790367188,37.392865865877376,0.3343384811442056,0.9873702215428861,0.8028509067027182,-0.0824342580366611,0.989632633476378
GCO-EBIX,,,,,,,,,
GCO-RGR,,,,,,,,,
GCO-LAZ,,,,,,,,,
GCO-SFNC,,,,,,,,,
GCO-HLX,1118.7284980338131,1124.286650104955,1123.0251465898598,7.223798083164121,0.1962182487545879,0.9649613375166867,0.37471806711461675,0.1936710321978054,0.7921115247189373
GCO-AUB,,,,,,,,,
GCO-FUL,,,,,,,,,
GCO-TILE,,,,,,,,,
GCO-WNC,,,,,,,,,
