,MRK,NVAX,NVTA,BMRN,CTMX,BPMC,SGEN,ICLR,GILD,VXRT,EVT,ALLO,ALT,EXEL,DTIL,SAN,AGEN,MRNA,BLUE,INO,ZIOP,MTEM,MGNX,GH,EDIT,NSTG,ALNY,IQV,CRL,TXG,AMGN,SWTX,TCRR,IBRX,EXAS,ISEE,ADAP,SGMO,RAPT,REGN,FATE,TECH,QGEN,BIIB,PSNL,BGNE,ARCT,FGEN,LGND,BCRX,GMAB,VRTX,SYRS,ILMN,NTLA,VIR,CRSP,INCY,NTRA,TWST,BNTX,BBH,IDNA
1999-11-01,33.8144800665,100.0,,15.38,,,,3.375,1.61042933724,,,,,,,2.69163637708,,,,50.0,,,,,,,,,,,31.0701766415,,,,,,,,,7.688,,16.2224312348,13.3261716006,20.25,,,,,36.0258799205,24.0,,13.22,,,,,,10.72,,,,,
1999-11-02,33.1769521618,103.8,,15.5,,,,3.375,1.24760533636,,,,,,,2.67597214986,,,,49.008,,,,,,,,,,,31.3603351832,,,,,,,,,7.75,,16.6486643203,13.2636074147,19.3433333333,,,,,34.1477534791,25.38,,13.065,,,,,,10.155,,,,,
1999-11-03,33.6317220671,108.8,,15.38,,,,3.47,1.27001130975,,,,,,,2.77517892224,,,,45.008,,,,,,,,,,,30.3931400443,,,,,,,,,7.688,,16.6486643203,14.4848603239,19.895,,,,,36.2819880716,26.75,,13.565,,,,,,10.47,,,,,
1999-11-04,33.8697324849,113.8,,15.19,,,,3.61,1.19362730956,,,,,,,2.9370426035,,,,47.008,,,,,,,,,,,32.424249836,,,,,,,,,7.75,,16.2224312348,15.5159181078,20.9366666667,,,,,37.0929972167,26.63,,13.5,,,,,,10.47,,,,,
1999-11-05,34.1629953211,115.0,,15.38,,,,3.595,1.18878965622,,,,,,,2.84044653565,,,,44.0,,,,,,,,,,,32.9349288693,,,,,,,,,7.938,,16.3843998072,15.390789736,21.105,,,,,37.3491053678,25.25,,13.72,,,,,,10.0,,,,,
1999-11-08,33.5509685325,112.4,,14.78,,,,3.5625,1.22545397631,,,,,,,2.87177499009,,,,46.0,,,,,,,,,,,33.0548610665,,,,,,,,,7.813,,16.2522675507,15.2030971782,21.6666666667,,,,,38.5442767396,25.31,,14.125,,,,,,10.0,,,,,
1999-11-09,33.1514510456,110.0,,14.63,,,,3.625,1.18726197621,,,,,,,2.85611076287,,,,45.008,,,,,,,,,,,33.225087411,,,,,,,,,7.813,,16.3843998072,15.2356305549,21.625,,,,,42.0017367793,25.25,,13.5,,,,,,9.875,,,,,
1999-11-10,32.9644428602,110.0,,14.63,,,,3.625,1.18726197621,,,,,,,2.88743921731,,,,48.0,,,,,,,,,,,33.9485493749,,,,,,,,,7.563,,16.6230903351,16.0464624044,20.6666666667,,,,,41.8736827038,25.25,,13.5,,,,,,10.03,,,,,
1999-11-11,32.6201777916,108.8,,14.06,,,,4.235,1.21577866962,,,,,,,2.9370426035,,,,47.008,,,,,,,,,,,35.0124640276,,,,,,,,,7.313,,16.861780863,17.0174585698,20.24,,,,,42.9408,25.25,,13.0,,,,,,11.25,,,,,
1999-11-12,32.2759127231,110.0,,13.06,,,,4.25,1.19184501622,,,,,,,2.88743921731,,,,49.008,,,,,,,,,,,35.5695684276,,,,,,,,,7.5,,17.8506416214,16.2041241529,19.77,,,,,42.5566377734,25.25,,13.155,,,,,,11.125,,,,,
1999-11-15,31.9571487707,110.0,,12.88,,,,4.0775,1.19999264291,,,,,,,2.90571414906,,,,50.0,,,,,,,,,,,34.722305486,,,,,,,,,8.125,,17.3178502645,15.7036106656,19.23,,,,,43.7518091451,25.25,,13.19,,,,,,11.67,,,,,
1999-11-16,32.3014138393,107.6,,13.0,,,,4.0775,1.20635797626,,,,,,,2.98664598969,,,,50.0,,,,,,,,,,,35.2059030554,,,,,,,,,9.0,,17.4244085359,15.5159181078,20.51,,,,,42.1724755467,25.25,,12.94,,,,,,11.125,,,,,
1999-11-17,32.8326870932,100.0,,12.88,,,,4.0,1.32882698989,,,,,,,2.98664598969,,,,48.0,,,,,,,,,,,35.2561972026,,,,,,,,,8.75,,17.6375250787,15.5159181078,21.3133333333,,,,,42.6846918489,25.06,,12.44,,,,,,11.69,,,,,
1999-11-18,33.4447138817,100.0,,12.19,,,,4.22,1.19821034957,,,,,,,2.90571414906,,,,49.008,,,,,,,,,,,35.279409886,,,,,,,,,8.75,,17.6375250787,15.7661748515,20.8333333333,,,,,40.678511332,25.06,,13.0,,,,,,12.0,,,,,
1999-11-19,33.7379767179,101.2,,11.88,,,,4.2825,1.17758666952,,,,,,,2.9370426035,,,,49.008,,,,,,,,,,,36.6334830804,,,,,,,,,8.125,,17.5309668073,16.0789957811,20.8333333333,,,,,39.4833399602,25.06,,12.78,,,,,,11.5,,,,,
