,MRK,NVAX,NVTA,BMRN,CTMX,BPMC,SGEN,ICLR,GILD,VXRT,EVT,ALLO,ALT,EXEL,DTIL,SAN,AGEN,MRNA,BLUE,INO,ZIOP,MTEM,MGNX,GH,EDIT,NSTG,ALNY,IQV,CRL,TXG,AMGN,SWTX,TCRR,IBRX,EXAS,ISEE,ADAP,SGMO,RAPT,REGN,FATE,TECH,QGEN,BIIB,PSNL,BGNE,ARCT,FGEN,LGND,BCRX,GMAB,VRTX,SYRS,ILMN,NTLA,VIR,CRSP,INCY,NTRA,TWST,BNTX,BBH,IDNA
1999-11-01,2862700,26700,,12500,,,,66000,0,,,,,,,95700,,,,11200,,,,,,,,,,,4964300,,,,,,,,,18200,,32000,71200,388100,,,,,431400,201500,,362800,,,,,,257000,,,,,
1999-11-02,3186000,115200,,85300,,,,0,14230500,,,,,,,27400,,,,20800,,,,,,,,,,,4538300,,,,,,,,,31400,,207500,16800,563900,,,,,277200,81300,,117900,,,,,,234400,,,,,
1999-11-03,4428900,56000,,4900,,,,65600,1603900,,,,,,,107600,,,,24000,,,,,,,,,,,5830400,,,,,,,,,21400,,331100,74700,842200,,,,,139800,1163600,,129800,,,,,,206400,,,,,
1999-11-04,4144900,42500,,48200,,,,135600,1081200,,,,,,,191900,,,,19200,,,,,,,,,,,8207400,,,,,,,,,16400,,50200,33900,770100,,,,,350400,291300,,56600,,,,,,134900,,,,,
1999-11-05,3816200,51800,,18300,,,,539200,672300,,,,,,,31200,,,,14400,,,,,,,,,,,6776500,,,,,,,,,35300,,52100,41300,745800,,,,,201600,116100,,164900,,,,,,133900,,,,,
1999-11-08,2504200,39100,,7300,,,,2800,670100,,,,,,,74300,,,,9600,,,,,,,,,,,4977700,,,,,,,,,21300,,39300,50900,431300,,,,,291000,104000,,70200,,,,,,125800,,,,,
1999-11-09,2716100,100900,,38300,,,,52800,346800,,,,,,,54800,,,,20800,,,,,,,,,,,4668600,,,,,,,,,18600,,39200,140800,212300,,,,,457800,86000,,277800,,,,,,157200,,,,,
1999-11-10,3785200,31500,,70400,,,,477200,718200,,,,,,,48300,,,,52800,,,,,,,,,,,4785100,,,,,,,,,14800,,268300,81200,340100,,,,,396000,97700,,75300,,,,,,214500,,,,,
1999-11-11,3938200,9000,,11400,,,,88400,460100,,,,,,,68500,,,,44800,,,,,,,,,,,5527400,,,,,,,,,18800,,42700,64400,436600,,,,,227400,54600,,162500,,,,,,166700,,,,,
1999-11-12,3965900,35900,,92500,,,,202400,697700,,,,,,,51500,,,,84800,,,,,,,,,,,3690200,,,,,,,,,19700,,151200,74900,316600,,,,,184200,144500,,110000,,,,,,226400,,,,,
1999-11-15,3742700,52600,,182600,,,,92800,385000,,,,,,,57300,,,,35200,,,,,,,,,,,3249600,,,,,,,,,113200,,77900,29900,401500,,,,,419400,132600,,118200,,,,,,262900,,,,,
1999-11-16,5123800,17600,,175500,,,,8800,635800,,,,,,,80200,,,,48000,,,,,,,,,,,5680400,,,,,,,,,229900,,52600,54100,381600,,,,,268800,62800,,213600,,,,,,198600,,,,,
1999-11-17,4944800,50200,,21100,,,,10800,1207900,,,,,,,124400,,,,8000,,,,,,,,,,,5000300,,,,,,,,,100500,,79000,21100,865400,,,,,118200,163400,,207900,,,,,,282500,,,,,
1999-11-18,3576700,38200,,85400,,,,51600,1427200,,,,,,,50700,,,,11200,,,,,,,,,,,5338100,,,,,,,,,60100,,75400,10800,1537700,,,,,365400,162400,,299800,,,,,,366100,,,,,
1999-11-19,4142700,23400,,19700,,,,26800,561200,,,,,,,146300,,,,76800,,,,,,,,,,,5699900,,,,,,,,,55400,,58400,20000,416800,,,,,191400,54900,,101800,,,,,,238200,,,,,
1999-11-22,3578100,9000,,14900,,,,234800,692600,,,,,,,71900,,,,6400,,,,,,,,,,,4762700,,,,,,,,,60500,,177800,25500,645300,,,,,229200,165500,,287900,,,,,,601900,,,,,
1999-11-23,2486800,32200,,20300,,,,102800,752900,,,,,,,49800,,,,17600,,,,,,,,,,,7793100,,,,,,,,,68400,,241100,45200,550800,,,,,223200,133000,,292400,,,,,,1291500,,,,280400,
1999-11-24,4190500,14400,,7200,,,,16800,414300,,,,,,,94500,,,,25600,,,,,,,,,,,5368100,,,,,,,,,63900,,116200,51200,182100,,,,,154800,147100,,123600,,,,,,323000,,,,111600,
1999-11-26,2056300,1700,,1700,,,,0,193700,,,,,,,31300,,,,8000,,,,,,,,,,,3638900,,,,,,,,,31400,,42600,40500,117300,,,,,314400,14900,,77800,,,,,,206000,,,,151400,
1999-11-29,4443500,30800,,1200,,,,16000,435200,,,,,,,83900,,,,16000,,,,,,,,,,,5844000,,,,,,,,,77000,,81500,37800,230500,,,,,726600,123700,,278900,,,,,,417000,,,,417900,
1999-11-30,4077300,16500,,1100,,,,26400,490900,,,,,,,92300,,,,46400,,,,,,,,,,,9557900,,,,,,,,,83200,,659000,48400,409300,,,,,1310400,49300,,338700,,,,,,370200,,,,157800,
1999-12-01,4222700,14500,,2800,,,,59200,560200,,,,,,,29100,,,,1600,,,,,,,,,,,7485700,,,,,,,,,14900,,1208500,28500,812700,,,,,545400,63900,,75000,,,,,,272800,,,,130200,
1999-12-02,3472100,43100,,8400,,,,74800,373600,,,,,,,39000,,,,24000,,,,,,,,,,,7278200,,,,,,,,,56500,,661800,51800,376300,,,,,313800,54200,,101100,,,,,,762100,,,,205400,
1999-12-03,4405000,67300,,49000,,,,79600,528300,,,,,,,260100,,,,11200,,,,,,,,,,,9474000,,,,,,,,,26700,,283400,67100,1662900,,,,,364800,46700,,164900,,,,,,1315300,,,,183700,
1999-12-06,4449700,45300,,65800,,,,65600,451400,,,,,,,72000,,,,1600,,,,,,,,,,,5201200,,,,,,,,,61300,,72000,23500,1378000,,,,,243000,82200,,208800,,,,,,744200,,,,229200,
