,MRNA,AMGN,IQV,ICLR,VRTX,GILD,REGN,ILMN,CRL,SGEN,ILMN,BIIB,TECH,BNTX,BGNE,EXAS,ALNY,NVAX,QGEN,GH,NTRA,BMRN,INCY,TXG,NTLA,CRSP,BBH,SPY,IBB,XBI,ARKG,FBT,LABU,IDNA,PBE,GNOM,BIB,SBIO,BTEC
2020-05-01,47.93,219.608432017,136.52,154.15,254.9,75.094868528,525.5,305.88,138.59,145.64,305.88,293.09,226.0923206,45.11,140.21,75.65,128.97,17.33,41.67,73.48,35.07,88.12,97.3,78.41,12.62,48.46,145.069077013,276.485635296,120.462332683,90.6132604426,39.5182823707,147.33,33.89,30.8930149185,51.8127,14.0212652768,57.48,36.59,36.7451368048
2020-05-04,50.5,219.541878245,134.06,153.49,264.69,75.3766503986,541.82,308.2,138.35,155.76,308.2,296.52,235.124487227,45.78,137.5,77.43,136.63,18.06,41.42,73.86,36.07,90.36,100.99,77.91,13.89,50.0,147.36116245,277.248246405,124.099119401,95.2022838714,40.8372112428,152.04,38.92,32.0283481553,53.5,14.577522026,60.9,38.49,38.1590628055
2020-05-05,49.34,224.723564774,135.49,151.92,272.33,74.3340574772,574.37,310.25,141.04,165.43,310.25,304.44,244.494490669,50.0,143.5,77.95,141.23,17.78,41.77,77.82,36.31,93.19,98.82,78.17,13.82,52.0,149.334349044,279.809837566,126.520322614,97.2673444144,41.2239648218,154.24,41.44,32.5661375833,54.6,14.9999575824,62.97,39.53,39.4763356546
2020-05-06,48.95,224.942241453,134.01,150.29,270.06,72.7654717306,553.5,315.04,143.66,164.64,315.04,306.78,259.965429544,47.78,144.38,77.9,145.27,17.14,41.91,80.85,35.85,95.0,96.08,78.7,13.85,52.33,149.095174912,277.913086859,126.540250213,97.7561751709,41.4520502658,155.14,42.09,32.8649094878,55.069,15.0598775195,63.32,39.87,39.4175466242
2020-05-07,53.19,221.842737218,135.52,156.04,270.01,72.8969699369,559.83,313.36,156.56,163.26,313.36,314.01,261.82353203,49.32,153.42,82.85,141.45,18.15,42.53,83.95,43.51,92.0,96.47,80.81,13.65,53.49,150.430563819,281.266620325,126.7096348,97.9058172393,41.660302193,155.72,42.33,33.3927398523,55.1916,15.0798508319,63.38,40.03,39.596902988
2020-05-08,59.25,223.259381792,137.65,158.88,271.63,72.7842571887,563.4,309.87,159.56,157.67,309.87,314.02,269.09695994,49.24,156.81,82.01,136.13,18.73,42.83,88.15,43.57,95.2,95.92,82.96,13.64,53.84,152.104782747,285.920503504,127.945145904,99.3324049573,42.8701467223,157.54,44.01,34.2492193116,55.83,15.1507560908,64.7,40.4,40.2415894731
2020-05-11,66.9,230.789465702,138.65,161.08,285.28,75.8932504948,574.11,320.31,164.24,160.96,320.31,328.01,278.109967175,49.98,163.26,83.95,142.43,24.5,42.9,94.72,46.57,96.47,99.33,82.1,15.59,61.29,158.343241372,285.979165897,133.415271681,104.071070454,45.6865061184,163.39,50.67,35.8526285321,58.34,15.9287166072,70.18,42.125,42.1288169891
2020-05-12,62.35,225.531717719,134.8,155.35,276.47,73.2163227236,557.54,321.55,160.96,161.77,321.55,319.77,271.504407789,49.33,158.38,83.35,144.19,39.82,42.74,96.73,46.07,96.16,96.74,82.59,15.89,59.55,155.04463146,280.27913671,130.5755889,101.826439429,44.7642475837,160.72,47.23,35.1554940884,57.25,15.7020195119,67.25,41.33,41.553880201
2020-05-13,65.18,225.170425814,132.47,154.73,277.03,72.3803698407,577.12,323.39,160.89,157.84,323.39,314.96,260.471929838,48.49,160.27,84.59,139.46,40.67,42.85,96.33,46.95,94.68,96.45,80.08,15.75,57.37,155.124356171,275.322164501,129.130838012,99.8012834381,42.7808958964,158.52,44.54,34.6605286334,56.1041,15.2396373308,65.695,39.93,40.5285596551
2020-05-14,64.56,226.26380921,132.37,155.31,277.0,72.5400462341,570.86,322.99,163.0,160.09,322.99,315.82,260.690788733,48.66,163.24,85.43,136.2,38.3,42.29,92.43,45.12,91.79,94.83,78.97,16.35,55.88,154.137762874,278.617035575,128.552937657,98.8834787523,42.1858903902,156.88,43.35,34.3488099464,55.53,15.2695972993,65.21,39.53,40.2256466852
2020-05-15,66.69,229.895743622,134.2,157.03,288.69,71.628951519,576.72,335.0,169.81,160.33,335.0,316.6,265.923505958,49.49,166.26,86.29,139.28,43.63,42.06,97.5,45.23,93.74,96.12,77.95,17.66,61.09,157.127439531,279.897831155,131.771244808,102.425007703,44.5163286228,161.13,47.75,35.240146128,57.0953,15.9177312854,68.36,41.17,41.6535226253
2020-05-18,80.0,223.186463177,138.56,162.17,284.13,70.2200421657,560.28,344.14,171.78,158.95,344.14,315.9,265.406203115,60.17,166.25,83.78,144.87,56.96,42.32,94.42,45.93,95.36,96.46,77.2,18.7,63.98,159.738423812,288.423432272,133.29570609,105.407872932,46.6583484452,163.72,51.93,37.0975114672,58.44,16.4380360724,69.74,42.04,43.1650982017
2020-05-19,71.67,217.673559417,140.86,159.24,282.28,67.9470017425,557.6,342.55,169.88,157.16,342.55,310.08,258.701162412,50.59,168.82,83.09,142.41,53.9,42.25,96.78,45.95,93.89,94.92,78.2,19.44,63.56,157.177267476,285.460981425,130.735009688,102.405055427,46.2220110739,161.8,47.53,35.8127922782,57.06,16.1584096993,67.19,40.98,42.1258277164
2020-05-20,73.47,218.094684009,145.42,164.39,284.62,69.4028747409,576.89,357.73,175.86,155.78,357.73,309.53,268.360798202,53.04,165.8,85.01,143.45,52.81,43.14,96.4,46.53,94.04,98.32,78.0,19.8,66.79,159.280006725,290.310405914,133.42523548,105.36796838,47.7293583563,165.89,51.54,36.7589033089,58.657,16.5588746122,70.0,42.455,43.334490323
