Pair,Distance,Num zero-crossings,Pearson r,Spread mean,Spread SD,Hurst Exponent,Half-life of mean reversion,Hedge ratio
IEX-GRA,1.6328258688667412,56.0,0.9258084086987974,-0.4444609551904851,0.059464010893695664,0.37803052322467096,17.77361873135059,1.4443744302016088
IEX-ADS,1.0071146550052508,79.0,0.9724423916454172,0.2900007963885733,0.03667695248973321,0.35746550424386836,16.505057389564364,0.7438257924855127
MOH-SCI,1.819716138766036,52.0,0.9760154712864809,-0.3343896965308641,0.06627015308994251,0.30478112791132594,12.654336153583472,1.3731582610697322
MOH-FHN,2.5784712901644076,54.0,0.9512325779930795,-1.0001291850466854,0.09390238592547133,0.35621396646264536,14.266102002963986,2.089340771923001
MOH-POLY,3.4286061748392265,66.0,0.9120044854113315,-1.7914823070331467,0.12486247236659312,0.33878860475586514,14.860934986376066,2.7045513889387465
MOH-SCHL,3.2449079805279175,55.0,0.9215736557764493,-0.40359691984980334,0.11817257870679874,0.35338966501318925,17.31671983333518,1.6949239673906273
NVAX-ACHC,4.229361483995615,54.0,0.9615893381818637,-0.9578655456792878,0.1540242607328616,0.35351186313004496,16.657299005434467,1.6875005527209648
NVAX-NYCB,5.31011952248265,52.0,0.9387367516650433,-2.87426099769222,0.19338314706569854,0.3935309667355208,20.99657546185271,3.8082410081946225
NVAX-MIDD,4.775400945005751,62.0,0.9507590617296627,-1.1888959854720484,0.17390984502999793,0.3446855479199821,17.674500125867805,1.903422269825489
NVAX-FNB,8.054894584287045,50.0,0.8524705658449389,-4.342887455292091,0.2933419591398608,0.3945446174398339,23.721523126965742,5.457223729804026
SBNY-DXC,1.8779558772938791,51.0,0.9511593998829229,-0.3850189434715363,0.06839111927029172,0.3876527599047887,15.033570920576484,1.3481205512255214
SBNY-ISBC,1.1880161776111495,63.0,0.980746092772425,-0.14437673057911662,0.04326499737316541,0.39827194522532716,17.15847827685069,1.1855608483022255
SBNY-EGBN,1.3221179241216707,75.0,0.9760979644010882,0.17281480004428815,0.04814869493541663,0.37895542016438016,15.903425812057336,0.8140828671230156
SBNY-FCF,1.9233345299321687,73.0,0.9487060314135791,-0.73999105555331,0.07004371232768695,0.39754039459486273,16.45049388534589,1.7885207564619954
SBNY-PKI,1.6984338600081483,56.0,0.9602358293189971,-0.29068175148184344,0.06185331300749286,0.34527014853603616,16.16794045440782,1.331528314174263
PWR-CG,2.108541777859246,50.0,0.8517590868477192,0.10373069538728542,0.07678856247877547,0.4028686273163691,15.545518550313366,0.8120147996543166
PWR-X,2.1199289370528787,50.0,0.8500121158533138,0.7436317335877648,0.07720325835740485,0.426436776752904,17.969317789500963,0.35168598203498663
PWR-CFX,1.8878353607357692,46.0,0.8831492120063664,0.4795127873565191,0.06875090883647517,0.3882052642532915,16.095826999372584,0.4785337851600936
PWR-ATI,1.7819164851546223,53.0,0.8966335986447929,0.6252856717359436,0.06489357089769254,0.4042518980398734,13.838075864949642,0.4341589739346149
WSM-STFC,2.3389679449630836,80.0,0.8918341206510904,-0.1994703670716157,0.08518018853769196,0.35070616582034303,13.925969237290278,1.2095175148129829
FANG-ARW,3.5923771538639726,65.0,0.9452214353740548,-1.085842199760715,0.13082665964858267,0.38927500219604766,14.319260035228027,2.4546221573060905
FANG-EQC,5.128820446492745,65.0,0.8847623944631797,-1.9402554746177558,0.18678062414195123,0.37615180554325883,12.737279985467103,2.721049359324729
FANG-SANM,4.303659140890792,43.0,0.9203642710117061,-0.15279585722864286,0.15673002180832582,0.3948351459145792,18.527726426235862,1.4871008541316129
FANG-KAMN,5.672715865604672,56.0,0.8569107971655336,-2.6691421065738896,0.20658812703847845,0.44502737014030036,16.563284119297936,4.536711536403646
BRO-MOH,1.0217353358342216,61.0,0.6930767917717499,1.014337578085355,0.037209406280834946,0.42165131350294327,15.891175202734262,0.11752322347669031
BRO-NVAX,1.1633942292776576,59.0,0.5712039075386458,1.09987042749219,0.04236831890190688,0.44093258033454524,18.873997781022045,0.05254501562452141
BRO-WSM,1.0728442065629002,53.0,0.6535046011327809,0.9551170628641031,0.039070681572782644,0.42093168543515164,17.825266328007537,0.1791415261910898
BRO-JLL,1.1882662776959818,65.0,0.5451228987299493,1.0428699993231167,0.04327410548104911,0.4521836521101169,20.330852464679396,0.11650065706128165
BRO-WTRG,1.04944396771961,50.0,0.6721522076527685,0.6719872549142155,0.038218495136969795,0.3924601727137477,18.727432181151723,0.43261236547099546
BRO-BAH,1.1271318670806418,58.0,0.6063156800792795,1.0496139030309632,0.041047721560923345,0.432847183829287,18.104204034056984,0.09910494986154439
BRO-BLDR,1.3068436321091783,41.0,0.3871520365071508,1.1214671718986824,0.04759243802894397,0.4593927024273046,21.843159632193565,0.0632673995483577
BRO-BG,1.334615012613875,49.0,0.33670719945050054,0.99420958051426,0.04860381205501227,0.46913151754043836,23.35719783593361,0.1904242405189267
BRO-SCI,0.9889274995070023,60.0,0.7163736094943133,0.9616676389979848,0.03601461535183383,0.42372586631255543,15.307137147200587,0.17090147426235314
BRO-OC,1.4082903234152186,41.0,0.11304861856720308,1.1408728968645774,0.05128690862251592,0.47579400450993875,23.89933679416809,0.057663065042469874
