,TRN,BDN,CMC,NYT,LEG,VNO,HLX,ORI,HP,EQC,MTOR,DKS,SEE,EAT,AGCO,AIV,WSM,BIG,HFC,AN,ENDP,OI,FFIV,AXL,VSH,NCR,MDRX,UIS,CRUS,FLR,MUR,ATI,PBI,PWR,TEX,RRC,FL,NVAX,LPX,CMA,AMKR,RMBS,MFA,ZION,HOG,UNM,IVZ,NWL,GME,JWN,NUAN,ANF,FHN,JBL,URBN,PBCT,HRB,LNC,RDN,TGNA,NYCB,WEN,CNX,STLD,TOL,BBBY,APA,MAT,BPOP,KBH,PTEN,SANM,DVN,MOS,OVV,TPR,CLF,AEO,KSS,SWN,MTG,GT,NOV,CDE,IPG,JBLU,THC,ODP,RIG,SNV,M,ON,GPS,X,MRO,XRX,JNPR,CAR,RAD,SLM
2003-01-02,3.40423927595,7.19871657438,2.60238351347,37.0214693315,11.4198543166,12.2218289032,12.23,5.18910048722,8.95693518796,9.49760937354,14.2344650714,3.7945386664,14.2867284292,14.8165746645,20.1504131256,1.52722270173,19.5104767646,11.2424512142,1.44577345046,12.64,8.09,14.5045446004,6.04,21.1743916023,9.52974430863,5.89517296541,0.78109208932,106.2,3.215,11.5057208051,11.5082451046,4.81260836916,13.2731643559,3.70448859332,5.20633823112,3.53613212405,6.85966772307,56.0,6.88353047038,25.4229616788,5.06288666238,7.1,0.972460251444,29.815360288,32.8964109763,11.7331870416,7.35237912451,17.6443477862,3.26506053504,6.14907057197,4.78787878788,14.4233965073,9.59641694474,14.8802792622,3.01125,2.46539484181,11.022351441,21.621476555,35.4928767743,24.6349540183,5.30628905405,4.59260964194,7.57637040005,2.07930833893,10.1717305641,31.38889394,22.4944058088,11.3374612827,118.185821923,17.4391983429,12.2652006209,27.06,17.7744086229,8.66235864548,28.8333304092,6.20158953947,2.04849615489,2.98041589614,40.4774580577,1.46875,38.7410604937,6.24419302824,8.60674449435,19.7,10.5840787869,12.1777899556,67.88,134.75476895,18.9147132271,38.14222205,9.06236326439,1.44,10.7958127861,11.4487880324,4.40845083747,15.3719256305,6.21610513225,15.6119509827,53.6,10.1988737562
2003-01-03,3.44487108879,7.22889284321,2.58641797044,36.8486186682,11.2120406765,12.4186905768,12.19,5.1979798515,8.81942466868,9.57685045293,14.1171710685,3.76231730909,14.2679794418,14.5438769713,20.0603352842,1.56257884198,18.8338926447,11.0785670857,1.43976052945,12.59,8.109,14.6711508559,5.945,20.8672620101,9.78900363443,5.87364027195,0.704718640587,108.7,3.21,11.5804332778,11.2837703758,4.86659596305,13.2930940321,3.66497404833,5.13248946188,3.5486494059,6.65573165563,65.0,6.82561615152,25.3267269096,5.15122167766,7.01,0.962271494444,29.5439113878,32.7733570699,11.804140894,7.28035129586,17.0938396414,3.3154472717,6.0103934294,5.18614718615,14.1515071938,9.59383448593,14.8960172625,2.92,2.46443889189,11.0009747594,21.6740675591,35.6304816209,24.4343984312,5.27211295506,4.55488095929,7.62345518784,2.04193514983,9.84452804248,30.5827168794,22.4147460243,11.1494531308,117.366509466,16.801644463,12.3403501893,25.26,17.8866680458,8.55789606441,28.8607907238,6.11517545457,2.03955509505,2.94308702203,38.9299327795,1.46875,38.7050725137,6.03071634351,8.50387503824,20.6,10.7142109031,12.3822346044,67.12,128.872964703,18.7811791221,37.8765548317,8.771883507,1.5,10.4800671725,11.4320132514,4.3658473089,15.5979833603,6.2414425173,16.0889828183,54.6,10.2474398217
2003-01-06,3.42720508321,7.23895159949,2.60078695916,37.6421603495,11.2565721708,12.5827419715,11.845,5.37556713717,8.52252695659,9.72401245753,14.4522967912,4.06557714257,14.2867284292,14.8983839724,20.618817901,1.58533681731,19.317167016,10.9474597829,1.44978206446,12.3,8.49,14.6123486481,6.275,21.077865159,10.1268263923,6.03393921216,0.78109208932,110.8,3.239,11.7377226942,11.3620755137,4.79718334234,13.6000110457,3.72424586582,5.3309580292,3.48606299663,6.60629260898,62.2,7.04899995284,26.3173789456,5.50853185183,7.98,0.986045260777,30.3655945453,33.1972094141,12.1202080546,7.50197538402,17.1837185222,3.31880638747,5.99148290995,5.28917748918,14.6621285874,9.83400315543,15.6593102759,2.8675,2.52370778689,11.5033267766,22.6207056326,36.9239671792,25.0694901768,5.36564754178,4.55316601917,7.61489431733,2.08270590157,9.8160756493,31.2762025229,22.3616395013,11.1095726137,118.868582304,16.6374838832,11.964602347,27.48,18.1037029301,8.79092797603,28.9523251061,6.21262112477,2.05644376364,2.93129895652,38.453239725,1.525,40.3335286097,6.29756219942,8.48482513897,20.8,11.0684594417,12.6889015778,66.72,127.731719103,18.22347786,39.4136294516,8.78096099942,1.57,10.5808370492,11.6165358424,4.53017520482,15.8993936668,6.7988649884,16.2624489403,58.2,10.4514172969
2003-01-07,3.48020309996,7.20877533066,2.56725931881,37.0528967248,11.1427694632,12.3038546006,10.925,5.2512560372,8.28188354784,9.57685045293,14.2428432145,3.9708084446,14.3804733664,14.7029506256,20.0152963635,1.56501719648,19.2136082222,10.6606625581,1.39299336608,12.49,8.479,13.9655243618,6.335,21.2709180456,9.98541221457,6.08178964207,0.729019283365,109.7,3.241,11.7534516358,10.8452616034,4.68920815457,13.340925255,3.98109040829,5.39096015421,3.3421142553,6.61247248981,60.0,6.91662436687,26.1079268009,5.42912959091,8.15,0.964535662666,30.5123236806,32.7733570699,11.9137968477,7.42440695316,17.0208130507,3.39270693456,6.01984868912,5.28138528139,14.6356028007,9.64548366217,15.7694762779,2.84375,2.50554473842,11.1372511045,22.4892281224,36.2818112283,25.1029181692,5.33327018484,4.56002577966,7.35378776682,2.1149827467,9.92040109098,31.3802253694,21.2615758108,11.0810865301,118.800306266,16.7291083929,11.1656437771,30.3,16.969882759,8.63021631285,28.0827484747,6.35970892885,2.00379085568,2.99220396165,36.9955261817,1.4725,39.8476908794,6.2530878901,8.09620719367,19.4,10.9166386395,12.8844573289,67.96,127.292778487,17.2651742828,39.3756769919,8.91107172408,1.725,10.5539650821,11.6081484519,4.33947369597,15.6544977928,7.42385381964,15.7854171048,61.0,10.2862926742
2003-01-08,3.40953907762,7.08807025536,2.53053856984,36.4714899483,11.0339146993,12.074182648,11.04,5.18199699579,8.11624587688,9.62213106973,14.1674399269,3.9802853144,14.3429753915,14.7983948183,19.8621640331,1.55607656331,19.3240709356,10.9146829572,1.3736183984,12.5,8.75,14.4065409206,6.195,20.9111376661,9.6240204271,5.96455608878,0.697775599793,105.5,3.1,11.8124351669,10.8478717747,4.48868280586,13.2532346797,3.87242540956,5.26172480804,3.2983037688,6.60011272814,60.0,6.76770183266,25.8871529185,5.14129639505,8.0,0.950950653333,30.8351277782,32.3768500381,11.9653996494,7.06426780991,16.9309341699,3.40950251345,5.92529609191,5.22077922078,14.8544405408,9.62740645049,15.0848732658,2.81,2.48546979012,11.089153571,22.4333501806,36.2267692896,24.7252028459,5.20196201502,4.48113853413,7.05843773428,2.0844046829,9.83978597695,30.8601111368,21.3488222415,10.8531978611,117.980993809,17.042158801,11.1063151704,28.92,16.8913011629,8.51771814862,27.8172987662,6.18504216151,2.00776466005,3.04525025644,36.5464675073,1.44625,38.7500574887,6.1552444096,7.71520920808,20.2,10.8515725814,12.8577906356,67.6,127.204990364,17.0923654411,39.1289860035,8.83845178474,1.725,10.6412989752,10.8868328689,4.30701386468,15.5791452162,7.09446781399,15.5974954726,57.4,10.363998379
2003-01-09,3.44310448823,7.13165819921,2.55448688438,37.3278864163,11.2318324518,12.0905877875,11.195,5.32584269719,8.24438067894,9.76929307433,14.5695907941,4.05420489881,14.4742183036,14.9756483189,19.7810939758,1.56257884198,17.763785108,11.3899469299,1.46180790647,12.34,9.06,14.2203339292,6.615,21.0690900278,9.82042900725,6.21098580284,0.722076242571,110.6,3.18,11.9028765813,10.9392277689,4.55809542656,13.456517377,3.86254677331,5.28941809651,3.49858027848,6.63719201313,68.4,7.01590605635,26.4192745836,5.5482329823,8.04,0.966799830888,31.3926984923,33.2655726954,12.3330696117,7.3302167157,17.0938396414,3.5606627234,6.12700829929,5.2380952381,17.261655682,9.89081724929,15.777345278,3.03,2.53231133616,10.9021076071,23.2433142889,37.1533085903,25.0026392057,5.2667167289,4.51543733653,7.16972905089,2.17613887432,9.85401217355,31.8916710315,21.7357411947,11.2349113817,118.834444285,17.2674023873,11.2882562309,30.6,17.1569817971,8.95967522237,28.2841241157,6.13723862518,2.0624044702,3.30655237522,39.6207922787,1.44375,41.3861770253,6.21750844265,7.67329942967,19.9,11.1190663758,12.2977900756,67.8,131.682184642,17.2808841775,39.356700762,9.35586885259,1.95,10.6278629916,11.4907249849,4.33135873815,15.7863648019,7.94749311067,16.2479934302,59.0,10.3348587397
2003-01-10,3.39717287371,7.04112939274,2.54490755857,37.1707494497,11.1328735755,11.9363794765,11.19,5.22106619864,8.25375639617,9.65609153233,14.5695907941,4.07505401236,14.7217049378,14.8302095491,19.8171251123,1.56176605715,17.950190937,10.9392655765,1.45312257613,12.37,8.92,14.6123486481,6.75,21.6306984251,9.85971072328,6.26122875425,0.706454400785,110.6,3.23,11.9107410521,10.7278038965,4.66607061433,13.3728127369,3.93169722705,5.2709559042,3.50483891941,6.73607010644,75.4,7.05727342696,26.130570276,5.84599146078,8.18,0.956611073888,31.3266703814,33.5390258208,12.2685661095,7.42994755537,17.0713699212,3.48676217631,6.05451797476,5.1645021645,17.5003877622,9.72295742652,15.6750482762,2.9775,2.53135538624,10.8887471811,23.2964266895,37.3826500013,25.0795176386,5.20376075708,4.52744191737,7.25105732072,2.15745227977,9.96307968076,31.7356367617,21.4702085797,11.3374612827,118.322373999,17.2674023873,11.2012409411,31.68,16.8875591822,8.98378197185,28.3939653744,6.14091582028,2.07631278551,3.26136479077,40.194205663,1.4325,41.6560868755,6.27977247569,7.68472936924,19.6,10.8949499534,12.2533455867,67.4,131.594396519,17.0452357569,38.8063900956,9.38612716065,1.84,10.5606830738,12.3294640349,4.33135873815,16.2949946941,7.82080618542,16.3491820014,57.8,10.4708437231
2003-01-13,3.34947465864,6.97407101757,2.55448688438,36.8486186682,10.9844352612,11.9429415323,11.025,5.19265223293,7.9412324887,9.62213106973,14.8712039445,4.08453088216,14.7554531152,14.9074738955,19.5829227247,1.55404460123,16.6936775714,11.2752280399,1.4564630878,12.37,9.12,15.1905703585,6.56,21.8500767052,9.7497219184,6.17270545891,0.70124712019,110.0,3.13,11.5332464529,10.6573292724,4.70463318139,13.3488971255,3.93169722705,5.18787603881,3.47354571477,6.79168903392,70.6,7.1069142717,26.0173529004,5.80629033031,8.4,0.956611073888,31.4587266031,33.552698477,12.3975731138,7.45210996418,16.8859947295,3.54386714452,5.93475135163,4.99567099567,17.5799651222,9.7616943087,14.8566722618,2.7525,2.53231133616,10.9555493111,23.0839770873,37.3826500013,24.9291017003,5.20555949913,4.54116143833,7.19113122716,2.16254862374,10.1622464331,31.7963167555,22.0430003634,11.4855889176,119.141686456,17.0994241195,11.0390760828,29.4,16.7079441056,9.05610222028,27.7166109457,5.87615777294,2.11605082925,3.30262302005,39.7935071535,1.4575,41.1162671751,6.3509313706,7.45994055774,19.7,10.8588021434,12.7244571689,70.76,123.956829809,16.8488620731,39.1479622334,9.25299060518,1.744,10.4128872547,12.8746444174,4.35570361162,16.4833761356,7.77857721034,16.8406693471,58.4,10.2668662479
2003-01-14,3.36719674678,6.97407101757,2.54331100426,36.7857638816,11.0487585308,11.8740399465,10.875,5.21218683436,7.92248105425,9.83721399953,14.5193219357,4.02766966338,14.9316935972,14.8392994722,16.8445563455,1.56217244956,16.8938912395,11.373558517,1.46982513447,12.49,9.23,14.7397534317,6.5605,21.8939523613,10.0325502738,5.40709858028,0.74637688535,109.5,3.012,11.7770450483,10.7408547528,5.05169628494,13.4525314418,3.9415758633,5.13248946188,3.51735620127,6.7669695106,71.82,6.99108563398,26.3966311085,5.98593794566,8.52,0.967931915,31.5467640843,33.6347344146,12.5136794177,7.474272373,16.5433314965,3.32552461903,6.01669693588,4.93506493506,17.904906009,9.86499266117,14.9511002635,2.745,2.55621008414,10.9475330555,23.2167580886,37.9238957314,24.9692138874,5.21455320939,4.62004868386,7.10552252208,2.16254862374,10.1385361054,31.5535967803,22.395779409,11.39443345,119.38065259,16.9810757945,10.8650455032,30.42,17.0035605858,9.05610222028,27.3870871696,5.58014356723,2.14188055768,3.33012850624,39.6207922787,1.475,41.4131680103,6.46656457483,7.43327069875,18.7,10.8443430193,12.8666795333,72.08,117.636084947,16.5660839684,39.6223679803,9.23180978954,1.72,10.5002211479,13.8643564964,4.39424966128,16.7847864421,8.18397537113,16.7973028166,59.2,10.4378187985
2003-01-15,3.33529698813,6.95730642378,2.5033971467,36.2750687401,10.8557887221,11.8740399465,10.975,5.16246239437,8.25688163524,9.65609153233,14.4941875065,3.9802853144,14.7179551403,14.7484002412,16.5292839005,1.5507934619,16.8317559632,11.2014801821,1.5018940465,12.55,9.98,14.7985556396,6.425,21.7008994747,9.96184318495,4.98840731854,0.753319926144,105.9,2.87,11.7141292817,10.7095326977,5.18280901295,13.472461118,3.75388177457,4.96171418302,3.70511542909,6.7669695106,73.78,6.53604455721,25.7003442489,6.39188200465,7.99,0.988309429,30.8791465188,32.9647742576,12.3782220632,7.39670394215,16.4759223359,3.20459645106,6.04506271504,5.36796536797,17.6728053756,9.64806612098,14.5025672556,2.74875,2.51606018753,11.0036468446,23.3163438397,37.1533085903,24.6282671497,5.1803771104,4.56002577966,7.01563338174,2.19312668755,10.0389527293,30.6173911615,23.2758303613,11.3773417998,117.776165695,16.8321859663,11.4978839745,30.0,17.3815006429,8.95163963921,27.6799971928,5.65368746927,2.08624729644,3.23975333734,40.242565828,1.54375,40.7293963899,6.20861358078,7.70758924837,17.7,10.7358995892,13.0489019378,75.36,121.14760987,17.202334704,38.294031889,9.04723411036,1.68,10.164321559,14.2250142879,4.40439335856,17.0485204603,8.18397537113,16.7828473064,60.6,10.2085869693
