,BRK.B,JPM,BAC,WFC,MS,C,GS,BLK,SCHW,SPGI,AXP,PNC,MMC,TFC,CB,XLF,SPY
1999-11-01,41.74,28.3612031704,17.4851008206,12.7195082616,31.0640988288,243.291096965,53.7067074411,9.73868083322,19.7627374332,,32.3084468322,31.4540244172,22.8386139294,16.756368633,13.4886661423,13.164280444,13.164280444
1999-11-02,42.82,28.4053266315,17.3179856285,12.855168546,30.9236897761,244.703990184,53.9931225716,9.73868083322,19.9813068029,,31.9831940118,31.4172545155,22.8386139294,16.933438157,13.4886661423,13.1486397147,13.1486397147
1999-11-03,43.06,27.9810625822,16.9810598381,12.5702819488,30.5754753253,241.559163341,53.2190276243,9.73868083322,19.5695831064,,31.874776405,30.7291320709,22.5958074543,16.7284102872,13.2920171219,13.0912903742,13.0912903742
1999-11-04,43.26,28.5512734645,17.1158301542,12.8073542509,31.7858013599,249.535173451,54.2872786515,9.86412824734,21.3486361161,,31.7229917554,31.4172545155,23.2827721155,16.7284102872,13.8698253548,13.2476976666,13.2476976666
1999-11-05,42.62,29.2742194046,17.5363135407,12.7555798401,32.5215447963,247.848817028,57.0430566638,10.3989303812,20.3981135081,,32.4819150032,32.0423428431,24.1325947782,17.0173131946,14.7486765325,13.5709394042,13.5709394042
1999-11-08,41.76,28.6395203868,17.7896817351,12.8427788478,32.0132640254,245.8434202,56.5089311502,10.9799499835,20.4591096112,,31.8530928836,32.567627152,23.7624629565,17.0778896107,14.5520275121,13.4979493344,13.4979493344
1999-11-09,40.28,28.1914975507,17.2344280325,12.3822590885,31.0472497425,240.693196529,55.6419448092,10.6498252095,19.3225488885,,31.6796247127,31.4540244172,23.6884365921,16.6119171793,14.2946843495,13.2372705138,13.2372705138
1999-11-10,39.7,27.342969452,17.2506004704,12.246010639,30.9433470435,239.280303309,55.6883905061,10.6036077411,19.3225488885,,31.4411059777,30.6660979538,23.744696629,16.4674657256,13.8382644009,13.0339410336,13.0339410336
1999-11-11,39.16,27.5330397461,16.9810598381,12.3822590885,31.5386814271,237.593946886,56.7489005838,10.6498252095,18.7835514721,,31.6145741486,30.5347768766,23.7062029196,16.295055926,13.5809212383,12.9609509638,12.9609509638
1999-11-12,39.36,28.8499553553,17.9244520513,13.0117269251,33.6981726583,250.127677059,61.7340720442,11.8844918643,21.8039709563,,33.4576734645,31.8795047074,24.3369075438,16.933438157,13.7921368529,13.5240172165,13.5240172165
